Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,LL,MM,NN,OO,PP,QQ,RR,SS,TT,UU,VV,WW,XX,YY,ZZ
2000-02-20,88.54,266.75,194.52,332.19,204.94,248.3,89.65,222.0,172.43,213.79,114.2,63.63,182.74,133.18,335.02,106.75,117.88,116.83,93.55,166.07,52.66,159.02,142.46,121.32,68.71,62.45,88.24,53.93,44.66,317.44,85.72,284.86,88.82,291.94,48.98,301.73,85.98,220.5,146.59,224.51,78.17,93.21,118.99,125.1,225.62,140.8,346.19,285.98,248.32,119.63,71.82,240.47
2000-02-21,88.01,268.9,195.27,331.67,205.06,251.57,89.47,223.36,174.07,211.72,116.9,63.63,181.83,132.17,340.2,105.45,117.31,114.58,92.77,166.44,53.5,158.69,141.92,119.76,68.31,62.55,88.75,53.59,45.19,316.94,82.96,281.9,87.92,292.43,49.02,304.04,86.86,219.21,147.68,221.92,79.17,92.84,119.81,126.29,226.86,140.36,346.37,288.54,248.89,118.63,71.89,241.8
2000-02-22,89.44,268.45,195.44,331.33,205.53,254.86,89.58,219.03,175.53,214.91,119.07,63.34,181.54,133.25,338.36,106.61,117.86,114.57,92.23,167.14,53.46,157.21,139.69,121.63,68.81,62.96,88.39,53.66,45.46,312.39,81.65,282.29,86.33,292.57,48.22,301.78,87.24,219.89,149.33,224.41,78.99,90.77,118.19,128.26,226.32,140.74,342.89,293.34,254.47,117.23,70.71,240.19
2000-02-23,90.13,269.75,196.22,327.64,208.82,254.68,89.2,219.07,175.06,218.55,118.69,62.76,182.78,132.27,336.44,106.93,118.49,113.36,92.39,167.32,53.49,159.33,140.49,119.55,68.69,62.74,88.54,53.44,45.57,309.43,82.84,281.07,86.68,294.84,47.48,299.64,87.32,219.03,147.59,226.83,79.62,89.48,118.91,129.25,225.6,137.5,347.75,292.46,254.57,116.88,71.17,242.49
2000-02-24,88.99,269.66,195.34,320.28,210.12,254.94,88.85,220.63,175.84,218.29,118.73,62.72,182.65,132.76,343.54,106.44,118.09,113.26,92.79,169.21,51.9,160.22,139.08,118.22,69.28,61.66,88.04,54.43,46.0,305.71,83.25,282.57,88.8,294.7,47.02,298.32,86.96,215.09,147.76,226.59,81.16,91.88,118.89,132.96,226.75,135.05,346.4,290.39,251.58,116.27,71.56,244.92
2000-02-25,89.12,271.35,193.67,320.22,209.05,255.25,87.74,223.51,176.33,217.69,119.73,62.52,181.91,134.1,343.92,107.25,120.23,114.8,92.79,168.97,52.1,159.89,139.52,116.77,69.42,61.68,88.28,54.35,46.24,305.92,83.27,279.0,87.45,296.74,47.45,298.94,85.48,214.96,146.86,228.11,81.78,92.9,118.17,130.95,229.61,133.11,343.01,289.68,252.74,116.76,71.8,245.8
2000-02-26,88.11,268.5,195.37,322.12,212.31,256.75,87.65,223.28,176.7,216.75,119.01,62.38,177.97,134.24,337.86,105.05,119.9,114.62,92.81,168.25,52.15,159.77,141.05,116.04,69.7,61.47,87.08,54.34,46.24,309.4,82.38,279.12,86.4,300.88,47.14,297.31,85.88,213.63,146.7,228.77,81.72,94.82,118.84,130.11,228.55,132.44,344.35,288.56,252.4,116.21,71.72,249.69
2000-02-27,88.08,264.98,197.97,323.07,214.33,262.71,87.91,221.84,173.47,217.08,119.71,62.77,180.02,133.46,341.52,105.65,121.43,116.19,90.89,165.05,52.25,159.97,139.76,117.06,70.93,61.38,87.0,54.52,46.06,311.11,82.42,282.5,87.6,298.02,46.96,296.54,85.08,214.56,145.64,230.45,82.99,94.08,118.03,129.52,227.81,133.08,342.25,290.24,250.8,117.14,72.0,255.94
2000-02-28,89.8,262.33,194.3,328.16,215.62,261.07,87.74,222.63,175.24,216.87,122.17,63.02,180.11,133.77,345.69,105.01,121.27,115.46,89.67,165.91,53.18,160.68,139.37,114.75,70.57,61.19,85.93,54.95,45.75,314.37,82.63,280.47,88.69,296.43,46.75,299.91,84.7,215.74,143.62,228.66,82.85,94.67,120.06,129.89,226.03,133.88,345.8,293.46,251.19,119.42,72.38,255.22
2000-02-29,89.6,262.61,194.29,329.29,214.65,259.42,87.49,222.36,174.69,216.95,122.44,64.02,179.57,133.23,349.95,104.04,120.3,113.39,91.24,168.52,54.08,160.2,137.73,115.8,69.49,60.37,86.03,54.56,45.31,309.65,83.23,279.98,89.61,299.87,46.93,306.13,84.95,216.45,145.81,226.33,82.31,94.88,118.73,129.66,230.17,134.03,351.51,302.24,252.51,118.06,72.16,259.66
2000-03-01,90.55,266.38,194.22,324.77,212.0,258.03,88.42,225.5,173.67,214.9,124.72,64.2,180.66,131.48,353.29,104.86,120.85,113.65,91.37,171.31,53.76,159.51,136.54,116.57,70.03,60.79,85.73,55.25,45.27,308.85,84.2,280.94,89.23,303.58,46.11,309.51,86.98,217.54,142.79,224.22,82.3,94.22,118.72,131.2,230.97,133.75,346.77,303.67,252.93,118.51,71.87,258.5
2000-03-02,89.52,264.74,193.98,324.78,209.5,259.95,89.15,225.97,171.81,214.53,124.98,64.49,180.87,130.84,350.0,103.1,121.53,112.76,91.88,171.96,52.92,161.89,136.14,116.14,70.05,60.54,86.83,55.6,45.55,312.5,84.03,278.48,90.0,301.24,45.47,308.66,87.41,216.8,143.22,225.25,82.78,94.63,117.38,131.28,227.83,134.67,344.44,303.7,249.09,119.81,70.79,258.11
2000-03-03,89.84,261.59,193.4,318.06,211.43,259.42,90.15,230.16,172.37,209.31,126.09,63.3,179.99,130.24,354.72,102.84,123.55,113.72,92.53,167.11,52.99,162.76,133.87,115.52,69.97,59.51,84.86,55.93,45.11,316.24,84.53,278.65,90.91,299.96,46.18,312.68,88.19,215.33,144.99,224.56,82.36,93.91,117.36,132.24,223.54,134.69,345.03,304.03,250.51,119.57,70.89,259.61
