Date,AAPL,TSLA,MSFT,GOOG
2000-06-09,186.29,301.6,245.19,150.62
2000-06-10,186.8,299.6,246.85,148.34
2000-06-11,186.2,301.03,248.3,147.67
2000-06-12,189.35,300.53,247.77,146.18
2000-06-13,192.21,304.28,247.4,145.82
2000-06-14,190.77,310.53,246.7,144.38
2000-06-15,186.96,308.42,244.39,144.67
2000-06-16,189.12,308.06,242.85,143.95
2000-06-17,188.37,308.3,244.17,142.27
2000-06-18,188.99,315.27,245.75,140.75
2000-06-19,187.76,317.63,247.23,140.87
2000-06-20,187.14,319.84,245.73,142.04
2000-06-21,186.99,316.45,243.03,144.24
2000-06-22,186.07,324.87,240.35,146.79
2000-06-23,184.29,326.75,241.82,149.12
2000-06-24,182.21,332.11,246.42,148.76
2000-06-25,182.83,331.94,250.09,147.44
2000-06-26,184.08,330.07,250.0,148.8
2000-06-27,184.05,330.93,249.27,151.52
2000-06-28,184.9,330.39,249.9,149.24
2000-06-29,187.09,327.1,248.0,151.61
2000-06-30,186.76,329.09,251.5,147.11
2000-07-01,183.82,328.43,249.39,145.49
2000-07-02,184.64,326.66,248.32,146.24
2000-07-03,185.44,329.85,245.95,148.5
2000-07-04,184.58,324.58,245.77,147.29
2000-07-05,184.83,324.12,247.49,147.28
2000-07-06,184.07,322.4,245.91,147.16
2000-07-07,180.95,322.08,244.3,143.86
2000-07-08,176.63,325.21,243.8,144.78
2000-07-09,177.61,326.57,243.46,145.28
2000-07-10,178.13,320.06,244.37,146.29
2000-07-11,177.34,322.8,247.0,145.71
2000-07-12,176.3,320.27,244.27,146.22
2000-07-13,176.92,321.95,243.18,145.68
2000-07-14,175.54,324.5,239.3,144.87
2000-07-15,173.95,324.94,239.74,143.13
2000-07-16,172.91,323.55,240.55,141.9
2000-07-17,174.7,319.1,238.59,139.92
2000-07-18,175.03,323.23,238.03,139.35
2000-07-19,172.2,320.89,236.06,137.51
2000-07-20,170.04,313.97,234.95,137.02
2000-07-21,170.76,313.68,236.81,136.02
2000-07-22,174.15,310.98,239.61,132.96
2000-07-23,174.53,308.61,240.69,137.07
2000-07-24,175.8,306.68,236.32,136.19
2000-07-25,174.64,303.87,237.2,134.14
2000-07-26,175.11,300.82,236.39,134.7
2000-07-27,175.45,301.57,234.58,136.18
2000-07-28,176.73,304.52,233.22,136.23
2000-07-29,178.2,301.39,236.61,137.02
2000-07-30,177.41,297.94,238.16,137.99
2000-07-31,174.33,294.41,237.55,137.27
2000-08-01,173.73,294.83,235.96,134.99
2000-08-02,170.96,297.08,226.35,136.14
2000-08-03,171.77,297.69,230.31,135.53
2000-08-04,172.71,298.23,231.81,135.13
2000-08-05,173.93,297.96,231.58,135.64
2000-08-06,173.42,301.86,233.11,135.79
2000-08-07,172.3,298.67,230.49,136.25
2000-08-08,170.53,299.78,228.82,135.02
2000-08-09,171.61,298.13,228.85,135.07
2000-08-10,172.79,298.27,229.94,134.72
2000-08-11,172.38,300.04,231.79,135.74
2000-08-12,178.45,298.92,227.78,135.91
2000-08-13,175.35,299.18,227.3,135.05
2000-08-14,170.88,300.09,228.64,134.78
2000-08-15,169.7,298.45,227.4,133.79
2000-08-16,168.94,297.24,230.74,133.94
2000-08-17,169.77,294.76,230.48,131.24
2000-08-18,170.77,293.63,230.23,132.21
2000-08-19,169.78,290.37,227.93,128.58
2000-08-20,171.31,291.57,226.77,127.47
2000-08-21,172.18,291.4,223.22,127.45
2000-08-22,173.9,283.47,224.58,127.14
2000-08-23,171.01,280.41,221.76,128.15
2000-08-24,171.27,286.15,221.92,129.91
2000-08-25,169.94,286.57,219.42,130.69
2000-08-26,169.32,286.92,220.44,130.9
2000-08-27,171.26,286.7,221.49,130.82
2000-08-28,171.44,281.9,225.13,131.71
2000-08-29,169.75,281.53,221.2,128.37
2000-08-30,171.15,284.45,219.67,127.78
2000-08-31,166.82,284.0,215.43,127.18
2000-09-01,165.57,286.65,218.25,129.8
2000-09-02,161.38,290.91,217.42,125.67
2000-09-03,159.53,293.09,215.31,124.55
2000-09-04,161.9,295.19,215.01,126.68
2000-09-05,160.59,295.09,217.72,129.16
2000-09-06,159.7,295.32,217.93,130.56
2000-09-07,157.37,299.33,220.8,130.4
2000-09-08,159.39,295.89,221.95,132.38
2000-09-09,160.98,297.9,223.67,129.8
2000-09-10,161.53,301.68,225.08,129.63
2000-09-11,164.23,300.98,229.59,129.05
2000-09-12,166.46,303.48,229.06,128.76
2000-09-13,168.19,305.86,230.19,129.47
2000-09-14,170.64,305.51,227.72,129.85
2000-09-15,172.66,309.45,229.25,129.36
2000-09-16,172.98,303.44,231.07,128.73
2000-09-17,172.61,303.37,225.16,128.14
2000-09-18,169.4,302.24,224.72,127.89
2000-09-19,167.45,302.18,222.8,128.55
2000-09-20,167.25,303.48,227.6,129.31
2000-09-21,165.43,305.09,226.76,131.65
2000-09-22,165.32,303.45,225.72,131.39
2000-09-23,161.25,307.43,227.48,131.25
2000-09-24,160.5,315.68,232.75,130.33
2000-09-25,159.85,320.17,230.42,129.48
2000-09-26,160.19,321.88,229.34,130.54
2000-09-27,156.79,321.76,228.37,130.11
2000-09-28,157.93,321.84,230.43,130.15
2000-09-29,154.42,309.75,225.35,129.93
2000-09-30,153.56,309.54,222.14,128.02
2000-10-01,151.97,311.05,221.59,127.31
2000-10-02,152.69,306.17,221.47,126.18
2000-10-03,149.54,306.59,223.0,127.57
2000-10-04,148.89,300.35,224.9,129.8
2000-10-05,148.05,299.25,223.54,127.86
2000-10-06,149.39,296.14,224.41,126.88
2000-10-07,149.09,296.48,227.4,126.27
2000-10-08,147.67,291.53,225.33,128.28
2000-10-09,144.94,291.01,224.68,126.6
2000-10-10,146.11,285.55,226.05,126.61
2000-10-11,143.56,286.44,227.59,127.06
2000-10-12,142.8,284.68,224.48,127.4
2000-10-13,141.23,287.93,220.6,126.94
2000-10-14,141.35,289.51,221.93,125.28
2000-10-15,137.59,287.45,219.54,127.96
2000-10-16,138.72,286.47,220.87,125.84
2000-10-17,138.04,289.01,220.36,126.68
2000-10-18,137.19,285.26,219.31,124.96
2000-10-19,137.12,279.82,220.72,125.05
2000-10-20,136.64,277.7,220.86,124.04
2000-10-21,136.67,277.51,219.57,123.03
2000-10-22,135.91,278.59,222.52,124.67
2000-10-23,135.14,273.96,221.93,123.79
2000-10-24,136.86,273.6,220.28,125.02
2000-10-25,137.74,272.4,219.42,123.97
2000-10-26,138.83,271.55,222.56,123.66
2000-10-27,138.72,274.38,221.19,121.81
2000-10-28,136.63,273.9,222.06,121.07
2000-10-29,138.12,274.86,218.19,119.68
2000-10-30,138.92,277.36,217.73,118.45
2000-10-31,137.77,275.93,220.8,118.3
2000-11-01,139.55,276.12,218.93,117.62
2000-11-02,139.06,268.04,218.04,118.67
2000-11-03,140.46,274.48,219.06,118.48
2000-11-04,139.47,276.55,218.53,118.26
2000-11-05,139.87,279.25,216.3,118.91
2000-11-06,139.1,275.33,217.55,118.71
2000-11-07,137.55,274.73,214.64,118.31
2000-11-08,138.99,273.46,212.03,118.25
2000-11-09,140.09,273.15,210.93,120.02
2000-11-10,140.12,271.0,213.68,119.29
2000-11-11,140.9,267.82,215.65,118.18
2000-11-12,140.58,267.29,215.53,118.87
2000-11-13,141.35,269.79,216.83,118.16
2000-11-14,139.57,271.01,217.09,117.67
2000-11-15,141.78,268.21,216.58,119.78
2000-11-16,144.52,266.45,215.17,120.1
2000-11-17,143.73,263.98,214.43,121.11
2000-11-18,143.44,266.58,213.15,120.38
2000-11-19,142.46,270.15,213.52,119.4
2000-11-20,141.32,273.75,211.54,119.59
2000-11-21,141.93,273.82,212.14,119.92
2000-11-22,143.43,272.51,212.99,119.54
2000-11-23,142.05,272.38,212.64,121.55
2000-11-24,143.21,276.9,212.4,122.06
2000-11-25,142.8,276.56,210.64,120.95
2000-11-26,143.09,275.24,210.19,122.26
2000-11-27,142.75,274.92,212.62,122.92
2000-11-28,143.03,272.93,211.03,124.21
2000-11-29,142.09,272.79,214.22,125.08
2000-11-30,142.28,270.87,211.62,124.42
2000-12-01,144.27,269.06,211.91,123.48
2000-12-02,141.81,269.25,214.44,123.74
2000-12-03,143.92,271.72,216.99,125.76
2000-12-04,145.32,272.5,216.37,125.2
2000-12-05,145.03,272.55,216.89,127.19
2000-12-06,142.87,273.78,215.24,128.39
2000-12-07,140.32,277.47,218.38,127.95
2000-12-08,136.78,283.5,222.36,128.49
2000-12-09,138.06,287.17,225.27,129.89
2000-12-10,137.63,287.32,223.37,132.5
2000-12-11,137.94,282.3,227.42,132.32
2000-12-12,136.28,279.53,226.81,132.61
2000-12-13,135.89,279.91,221.4,131.76
2000-12-14,133.94,281.85,224.86,131.66
2000-12-15,133.35,276.99,219.43,132.12
2000-12-16,133.38,279.95,216.89,132.11
2000-12-17,134.6,276.02,215.12,129.67
2000-12-18,134.12,277.12,217.27,128.73
2000-12-19,133.22,277.8,221.43,125.55
2000-12-20,132.93,279.24,222.65,123.17
2000-12-21,129.84,283.67,223.37,122.53
2000-12-22,132.9,284.61,222.96,120.99
2000-12-23,131.66,283.78,218.02,120.57
2000-12-24,132.39,283.59,217.97,120.18
2000-12-25,132.55,282.68,217.22,120.87
2000-12-26,132.06,283.62,217.61,120.55
2000-12-27,131.84,285.1,215.44,119.96
2000-12-28,131.17,284.55,216.68,122.58
2000-12-29,131.51,289.21,214.91,123.0
2000-12-30,132.77,290.22,212.27,121.42
2000-12-31,135.33,289.47,213.52,120.94
2001-01-01,135.9,291.57,212.18,122.17
2001-01-02,138.22,284.18,210.06,121.79
2001-01-03,136.63,286.54,214.08,122.21
2001-01-04,135.41,288.55,215.78,121.75
2001-01-05,136.11,288.57,216.48,121.19
2001-01-06,134.88,287.72,215.84,121.3
2001-01-07,134.8,284.81,219.69,118.44
2001-01-08,135.75,279.26,221.06,118.08
2001-01-09,137.34,281.25,221.45,115.59
2001-01-10,136.58,279.79,226.13,115.48
2001-01-11,132.81,282.12,226.13,115.48
2001-01-12,132.77,279.77,226.06,116.58
2001-01-13,134.63,280.26,225.54,115.63
2001-01-14,134.63,277.38,225.52,115.88
2001-01-15,134.0,275.44,226.8,116.02
2001-01-16,135.84,273.52,225.01,115.28
2001-01-17,136.03,275.67,225.95,115.49
2001-01-18,135.28,272.9,225.64,113.89
2001-01-19,137.35,275.79,224.88,113.39
2001-01-20,136.69,273.97,225.38,112.85
2001-01-21,137.82,273.14,224.92,112.93
2001-01-22,139.04,275.35,227.26,111.68
2001-01-23,141.62,279.89,225.19,110.33
2001-01-24,141.67,282.55,225.85,109.95
2001-01-25,141.89,281.58,231.42,109.38
2001-01-26,144.95,277.36,230.92,110.36
2001-01-27,144.25,276.29,235.16,108.87
2001-01-28,143.52,276.77,236.69,109.21
2001-01-29,146.38,280.83,235.86,109.31
2001-01-30,145.44,276.88,234.05,109.21
2001-01-31,144.0,278.82,232.43,106.99
2001-02-01,141.79,276.79,234.15,105.79
2001-02-02,141.12,278.94,228.26,108.43
2001-02-03,142.68,278.46,230.03,109.26
2001-02-04,143.64,277.49,228.87,108.72
2001-02-05,143.61,281.97,231.0,108.26
2001-02-06,144.07,282.9,233.18,108.25
2001-02-07,145.67,281.91,237.84,109.11
2001-02-08,143.98,281.04,236.38,108.88
2001-02-09,144.29,277.97,238.37,109.86
2001-02-10,143.31,276.95,240.04,110.91
2001-02-11,143.01,276.29,240.02,108.5
2001-02-12,140.15,276.78,240.22,108.16
2001-02-13,142.85,276.74,239.94,107.88
2001-02-14,144.2,274.77,242.83,108.43
2001-02-15,146.19,276.27,241.21,107.08
2001-02-16,145.18,275.67,242.15,108.67
2001-02-17,143.15,277.46,242.63,107.65
2001-02-18,144.1,275.52,240.45,107.33
2001-02-19,143.93,279.52,240.66,105.18
2001-02-20,143.64,280.39,239.56,106.17
2001-02-21,144.12,279.53,239.17,104.01
2001-02-22,144.57,281.36,239.45,103.77
2001-02-23,147.48,280.03,237.92,103.5
2001-02-24,150.59,277.48,239.91,105.64
2001-02-25,152.37,279.28,237.51,104.61
2001-02-26,153.86,276.73,235.23,104.72
2001-02-27,155.64,274.32,235.31,104.47
2001-02-28,157.27,274.64,236.6,103.15
2001-03-01,156.21,271.27,237.05,101.87
2001-03-02,156.71,271.39,237.25,102.82
2001-03-03,155.21,272.66,236.16,101.64
2001-03-04,155.37,270.35,229.84,101.61
2001-03-05,154.16,265.09,228.29,103.24
2001-03-06,153.88,265.24,230.43,102.48
2001-03-07,153.1,264.65,230.42,101.88
2001-03-08,153.82,263.13,231.65,103.36
2001-03-09,155.18,260.33,230.27,102.45
2001-03-10,156.29,255.44,229.51,102.63
2001-03-11,156.54,255.26,234.72,101.32
2001-03-12,155.32,256.69,236.59,100.97
2001-03-13,154.54,255.8,238.05,100.2
2001-03-14,154.5,255.2,242.21,100.99
2001-03-15,154.3,253.13,240.61,101.09
2001-03-16,154.94,254.6,242.74,102.7
2001-03-17,155.58,256.53,245.86,103.66
2001-03-18,157.42,259.18,244.38,102.98
2001-03-19,157.86,263.26,244.8,102.51
2001-03-20,159.99,259.95,251.25,102.49
2001-03-21,158.61,262.13,252.98,102.12
2001-03-22,158.82,262.29,256.45,103.79
2001-03-23,157.93,262.84,255.56,103.18
2001-03-24,158.14,263.81,248.7,104.29
2001-03-25,161.37,260.98,249.93,105.49
2001-03-26,163.63,256.91,249.17,104.07
2001-03-27,166.53,255.54,249.17,103.79
2001-03-28,166.54,255.21,248.73,103.19
2001-03-29,166.04,253.53,251.66,102.71
2001-03-30,168.2,251.99,249.32,102.94
2001-03-31,168.4,254.96,249.79,104.68
2001-04-01,171.3,251.38,256.18,103.54
2001-04-02,170.44,249.61,257.93,102.95
2001-04-03,169.81,251.61,257.41,101.03
2001-04-04,167.92,249.12,258.71,102.33
2001-04-05,169.64,247.26,260.04,102.44
2001-04-06,168.26,248.91,257.0,102.64
2001-04-07,166.97,250.44,257.6,101.89
2001-04-08,165.55,249.25,256.51,101.05
2001-04-09,165.81,251.24,258.47,102.1
2001-04-10,166.52,251.01,249.48,102.11
2001-04-11,166.93,252.59,247.31,101.82
2001-04-12,167.37,249.7,246.9,101.25
2001-04-13,166.89,249.8,248.3,101.83
2001-04-14,168.46,249.67,249.37,103.76
2001-04-15,167.58,252.04,244.86,104.75
2001-04-16,165.08,251.95,244.45,105.44
2001-04-17,164.35,255.53,242.75,105.06
2001-04-18,161.33,254.4,244.97,103.83
2001-04-19,162.86,251.24,244.88,102.87
2001-04-20,164.11,249.67,244.44,103.84
2001-04-21,161.26,246.32,242.86,105.17
2001-04-22,159.51,240.48,241.01,106.18
2001-04-23,158.42,239.92,239.62,107.16
2001-04-24,158.52,243.53,241.23,106.16
2001-04-25,156.7,242.78,244.98,106.35
2001-04-26,154.75,251.08,245.17,107.87
2001-04-27,155.36,252.27,246.71,107.72
2001-04-28,153.66,248.07,248.81,107.52
2001-04-29,153.68,249.65,247.54,109.81
2001-04-30,155.55,250.06,244.93,111.09
2001-05-01,152.26,251.59,244.08,113.4
2001-05-02,151.11,251.25,242.98,115.22
2001-05-03,150.94,250.42,240.04,115.45
2001-05-04,151.64,241.57,241.44,115.55
2001-05-05,153.37,238.42,243.54,116.31
2001-05-06,152.89,242.78,240.9,116.89
2001-05-07,155.62,240.87,238.39,120.74
2001-05-08,157.11,241.27,239.22,120.52
2001-05-09,157.4,241.02,239.33,120.08
2001-05-10,153.08,239.12,236.97,119.11
2001-05-11,151.05,242.47,234.18,118.68
2001-05-12,150.7,239.06,232.35,116.58
2001-05-13,149.97,241.08,230.76,118.71
2001-05-14,150.41,244.09,230.04,121.21
2001-05-15,153.09,241.94,230.64,121.62
2001-05-16,152.57,241.89,231.79,122.76
2001-05-17,153.41,241.19,227.55,123.78
2001-05-18,155.2,237.8,227.95,123.21
2001-05-19,154.16,236.13,227.44,123.2
2001-05-20,152.27,234.57,226.34,124.78
2001-05-21,150.53,236.24,232.24,122.93
2001-05-22,150.07,236.1,230.95,122.09
2001-05-23,153.34,234.45,229.4,123.49
2001-05-24,153.0,230.2,230.87,123.08
2001-05-25,153.86,229.9,225.01,123.43
2001-05-26,153.03,231.36,229.07,123.47
2001-05-27,152.21,235.78,226.66,124.16
2001-05-28,152.49,235.82,226.96,124.93
2001-05-29,150.73,241.45,228.27,122.43
2001-05-30,152.08,240.23,226.52,121.04
2001-05-31,152.92,241.79,223.66,121.07
2001-06-01,152.55,239.14,222.73,122.1
2001-06-02,153.11,242.85,222.2,123.38
2001-06-03,152.07,245.55,222.9,124.26
2001-06-04,152.86,243.38,221.5,124.45
2001-06-05,151.52,244.03,217.91,124.64
2001-06-06,152.27,244.38,218.65,123.91
2001-06-07,151.43,245.01,224.79,122.96
2001-06-08,150.82,245.42,222.34,122.77
2001-06-09,152.52,249.47,218.02,123.41
2001-06-10,154.44,247.79,216.46,122.81
2001-06-11,154.47,248.35,215.93,123.53
2001-06-12,151.99,253.99,217.34,121.94
2001-06-13,150.93,257.18,216.3,120.66
2001-06-14,149.73,260.82,216.15,119.77
2001-06-15,150.13,261.83,216.15,121.71
2001-06-16,150.49,265.81,213.91,121.87
2001-06-17,150.59,266.3,212.85,120.55
2001-06-18,152.59,267.83,208.95,120.47
2001-06-19,153.11,265.08,210.07,119.01
2001-06-20,152.41,266.74,210.28,117.23
2001-06-21,154.41,268.06,209.13,117.25
2001-06-22,152.43,268.22,207.96,116.26
2001-06-23,149.8,266.31,206.8,115.77
2001-06-24,148.06,265.01,207.83,116.29
2001-06-25,149.43,267.22,204.79,115.29
2001-06-26,148.96,267.72,202.06,114.92
2001-06-27,151.03,267.56,201.66,115.49
2001-06-28,152.81,267.27,200.86,115.53
2001-06-29,150.7,265.98,199.32,117.84
2001-06-30,149.21,268.28,199.67,117.39
2001-07-01,149.48,271.5,198.98,117.62
2001-07-02,150.13,269.66,197.65,117.85
2001-07-03,148.94,265.43,200.79,117.89
2001-07-04,148.4,266.11,200.96,118.69
2001-07-05,151.22,266.96,200.68,117.73
2001-07-06,151.82,270.19,199.09,116.4
2001-07-07,150.48,263.64,200.27,115.5
2001-07-08,149.93,264.89,200.05,116.78
2001-07-09,149.26,261.46,198.62,116.04
2001-07-10,148.18,261.34,200.6,115.72
2001-07-11,146.04,265.77,202.55,115.33
2001-07-12,145.06,268.68,203.33,114.86
2001-07-13,144.54,264.84,202.84,114.43
2001-07-14,145.33,259.82,203.29,115.31
2001-07-15,147.46,259.97,204.03,114.51
2001-07-16,147.39,257.25,203.34,115.04
2001-07-17,147.2,261.01,200.12,114.42
2001-07-18,147.47,258.71,199.28,113.96
2001-07-19,145.01,257.69,198.38,115.14
2001-07-20,143.29,258.9,202.04,116.68
2001-07-21,143.55,261.4,200.92,118.36
2001-07-22,144.93,258.23,198.98,118.56
2001-07-23,145.82,258.58,198.82,118.7
2001-07-24,146.19,258.62,198.77,117.03
2001-07-25,147.15,258.09,200.9,117.75
2001-07-26,148.82,262.34,199.27,116.04
2001-07-27,145.88,263.54,198.9,117.75
2001-07-28,146.54,263.98,201.15,117.79
2001-07-29,146.95,266.79,203.36,115.5
2001-07-30,145.46,267.63,204.13,115.04
2001-07-31,146.53,275.13,203.78,114.95
2001-08-01,143.09,273.02,206.71,116.05
2001-08-02,145.83,267.88,208.96,115.75
2001-08-03,147.11,267.87,208.21,114.95
2001-08-04,147.61,265.47,207.52,116.07
2001-08-05,149.03,266.47,204.3,116.13
2001-08-06,150.57,270.39,205.07,116.26
2001-08-07,148.64,272.12,203.3,116.64
2001-08-08,149.23,275.96,202.37,115.13
2001-08-09,148.85,276.53,202.99,114.52
2001-08-10,148.23,278.56,204.29,113.53
2001-08-11,148.09,281.8,205.9,115.25
2001-08-12,148.08,278.51,209.62,115.83
2001-08-13,148.47,287.19,207.87,116.83
2001-08-14,147.18,285.29,208.34,117.02
2001-08-15,145.8,286.25,211.01,117.71
2001-08-16,146.46,287.91,211.47,118.53
2001-08-17,145.5,288.82,207.55,118.14
2001-08-18,143.77,291.23,209.05,116.25
2001-08-19,145.68,289.07,208.62,116.23
2001-08-20,144.19,284.5,208.99,114.77
2001-08-21,145.34,287.48,215.74,115.24
2001-08-22,145.63,286.18,215.75,113.89
2001-08-23,145.4,282.0,216.54,115.21
2001-08-24,147.11,280.67,217.49,114.4
2001-08-25,148.86,279.07,214.08,113.77
2001-08-26,150.54,278.66,213.27,115.23
2001-08-27,150.99,278.3,215.41,116.65
2001-08-28,149.91,285.05,216.92,120.21
